 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_H-ions.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   1.872E-02  9.404E-06    7.01 mm   296.43 um   173.51 um  
  32.50 MeV   1.754E-02  8.741E-06    8.10 mm   336.27 um   199.87 um  
  35.00 MeV   1.652E-02  8.169E-06    9.27 mm   376.48 um   227.84 um  
  37.50 MeV   1.562E-02  7.670E-06   10.50 mm   417.17 um   257.37 um  
  40.00 MeV   1.483E-02  7.230E-06   11.80 mm   458.39 um   288.45 um  
  45.00 MeV   1.349E-02  6.492E-06   14.61 mm   610.53 um   355.12 um  
  50.00 MeV   1.240E-02  5.894E-06   17.68 mm   753.56 um   427.63 um  
  55.00 MeV   1.149E-02  5.401E-06   21.00 mm   893.04 um   505.77 um  
  60.00 MeV   1.073E-02  4.987E-06   24.57 mm     1.03 mm   589.36 um  
  65.00 MeV   1.007E-02  4.634E-06   28.39 mm     1.17 mm   678.21 um  
  70.00 MeV   9.507E-03  4.329E-06   32.44 mm     1.31 mm   772.18 um  
  80.00 MeV   8.574E-03  3.829E-06   41.23 mm     1.82 mm   974.84 um  
  90.00 MeV   7.837E-03  3.436E-06   50.91 mm     2.29 mm     1.20 mm  
 100.00 MeV   7.240E-03  3.118E-06   61.44 mm     2.74 mm     1.44 mm  
 110.00 MeV   6.745E-03  2.856E-06   72.79 mm     3.19 mm     1.69 mm  
 120.00 MeV   6.329E-03  2.636E-06   84.94 mm     3.64 mm     1.96 mm  
 130.00 MeV   5.974E-03  2.449E-06   97.84 mm     4.09 mm     2.25 mm  
 140.00 MeV   5.667E-03  2.287E-06  111.47 mm     4.54 mm     2.55 mm  
 150.00 MeV   5.399E-03  2.146E-06  125.82 mm     4.99 mm     2.86 mm  
 160.00 MeV   5.164E-03  2.021E-06  140.84 mm     5.44 mm     3.19 mm  
 170.00 MeV   4.955E-03  1.911E-06  156.53 mm     5.90 mm     3.53 mm  
 180.00 MeV   4.768E-03  1.813E-06  172.85 mm     6.36 mm     3.88 mm  
 200.00 MeV   4.449E-03  1.645E-06  207.31 mm     8.05 mm     4.62 mm  
 225.00 MeV   4.127E-03  1.475E-06  253.61 mm    10.43 mm     5.60 mm  
 250.00 MeV   3.868E-03  1.338E-06  303.27 mm    12.62 mm     6.63 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2591E+01                 eV / Angstrom 
  1.2591E+02                keV / micron   
  1.2591E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.0563E+01                 eV / (1E15 atoms/cm2)
  4.8023E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
