 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_N-ions.txt

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  27.50 MeV   6.807E+00  4.911E-03   27.54 um     8966 A      4014 A   
  30.00 MeV   6.559E+00  4.551E-03   30.63 um     9998 A      4205 A   
  32.50 MeV   6.312E+00  4.242E-03   33.85 um     1.10 um     4404 A   
  35.00 MeV   6.042E+00  3.974E-03   37.20 um     1.20 um     4612 A   
  37.50 MeV   5.789E+00  3.740E-03   40.70 um     1.30 um     4829 A   
  40.00 MeV   5.558E+00  3.533E-03   44.35 um     1.40 um     5055 A   
  45.00 MeV   5.153E+00  3.184E-03   52.09 um     1.78 um     5538 A   
  50.00 MeV   4.807E+00  2.901E-03   60.41 um     2.14 um     6060 A   
  55.00 MeV   4.509E+00  2.666E-03   69.31 um     2.48 um     6621 A   
  60.00 MeV   4.249E+00  2.468E-03   78.77 um     2.83 um     7220 A   
  65.00 MeV   4.020E+00  2.299E-03   88.79 um     3.17 um     7856 A   
  70.00 MeV   3.816E+00  2.153E-03   99.36 um     3.50 um     8529 A   
  80.00 MeV   3.468E+00  1.911E-03  122.14 um     4.77 um     9982 A   
  90.00 MeV   3.181E+00  1.721E-03  147.08 um     5.94 um     1.16 um  
 100.00 MeV   2.941E+00  1.566E-03  174.16 um     7.07 um     1.33 um  
 110.00 MeV   2.736E+00  1.438E-03  203.36 um     8.20 um     1.52 um  
 120.00 MeV   2.558E+00  1.331E-03  234.67 um     9.33 um     1.72 um  
 130.00 MeV   2.403E+00  1.239E-03  268.08 um    10.47 um     1.93 um  
 140.00 MeV   2.266E+00  1.159E-03  303.57 um    11.62 um     2.15 um  
 150.00 MeV   2.145E+00  1.089E-03  341.15 um    12.79 um     2.39 um  
 160.00 MeV   2.035E+00  1.028E-03  380.79 um    13.97 um     2.64 um  
 170.00 MeV   1.937E+00  9.734E-04  422.51 um    15.18 um     2.90 um  
 180.00 MeV   1.848E+00  9.246E-04  466.28 um    16.41 um     3.18 um  
 200.00 MeV   1.693E+00  8.410E-04  559.95 um    21.11 um     3.76 um  
 225.00 MeV   1.534E+00  7.562E-04  688.48 um    27.90 um     4.56 um  
 250.00 MeV   1.403E+00  6.876E-04  829.69 um    34.34 um     5.44 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2070E+01                 eV / Angstrom 
  1.2070E+02                keV / micron   
  1.2070E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1045E+01                 eV / (1E15 atoms/cm2)
  1.8807E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
