 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_He-ions.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  14.00 MeV   4.262E-01  2.663E-04  152.64 um     5.97 um     2.18 um  
  15.00 MeV   4.036E-01  2.504E-04  171.78 um     6.58 um     2.43 um  
  16.00 MeV   3.835E-01  2.363E-04  191.96 um     7.19 um     2.69 um  
  17.00 MeV   3.654E-01  2.238E-04  213.16 um     7.81 um     2.97 um  
  18.00 MeV   3.492E-01  2.126E-04  235.38 um     8.45 um     3.25 um  
  20.00 MeV   3.211E-01  1.934E-04  282.79 um    10.83 um     3.87 um  
  22.50 MeV   2.922E-01  1.740E-04  347.59 um    14.24 um     4.70 um  
  25.00 MeV   2.685E-01  1.583E-04  418.45 um    17.47 um     5.61 um  
  27.50 MeV   2.486E-01  1.452E-04  495.26 um    20.64 um     6.59 um  
  30.00 MeV   2.318E-01  1.343E-04  577.93 um    23.79 um     7.65 um  
  32.50 MeV   2.172E-01  1.249E-04  666.38 um    26.95 um     8.77 um  
  35.00 MeV   2.045E-01  1.168E-04  760.53 um    30.13 um     9.96 um  
  37.50 MeV   1.934E-01  1.098E-04  860.30 um    33.36 um    11.21 um  
  40.00 MeV   1.835E-01  1.035E-04  965.65 um    36.62 um    12.54 um  
  45.00 MeV   1.667E-01  9.306E-05    1.19 mm    48.87 um    15.38 um  
  50.00 MeV   1.529E-01  8.458E-05    1.44 mm    60.38 um    18.48 um  
  55.00 MeV   1.415E-01  7.757E-05    1.71 mm    71.62 um    21.83 um  
  60.00 MeV   1.317E-01  7.168E-05    2.00 mm    82.79 um    25.43 um  
  65.00 MeV   1.234E-01  6.665E-05    2.31 mm    93.99 um    29.27 um  
  70.00 MeV   1.161E-01  6.230E-05    2.64 mm   105.28 um    33.34 um  
  80.00 MeV   1.041E-01  5.517E-05    3.37 mm   147.15 um    42.19 um  
  90.00 MeV   9.449E-02  4.955E-05    4.17 mm   186.16 um    51.95 um  
 100.00 MeV   8.668E-02  4.501E-05    5.05 mm   224.23 um    62.58 um  
 110.00 MeV   8.018E-02  4.126E-05    6.00 mm   262.14 um    74.08 um  
 120.00 MeV   7.469E-02  3.811E-05    7.02 mm   300.23 um    86.42 um  
 130.00 MeV   6.997E-02  3.542E-05    8.12 mm   338.69 um    99.58 um  
 140.00 MeV   6.588E-02  3.309E-05    9.29 mm   377.62 um   113.55 um  
 150.00 MeV   6.230E-02  3.107E-05   10.53 mm   417.09 um   128.30 um  
 160.00 MeV   5.913E-02  2.928E-05   11.84 mm   457.10 um   143.83 um  
 170.00 MeV   5.631E-02  2.770E-05   13.21 mm   497.69 um   160.11 um  
 180.00 MeV   5.378E-02  2.629E-05   14.66 mm   538.84 um   177.14 um  
 200.00 MeV   4.942E-02  2.387E-05   17.74 mm   694.74 um   213.38 um  
 225.00 MeV   4.500E-02  2.142E-05   21.95 mm   917.18 um   262.66 um  
 250.00 MeV   4.141E-02  1.944E-05   26.54 mm     1.13 mm   316.17 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2591E+01                 eV / Angstrom 
  1.2591E+02                keV / micron   
  1.2591E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.0563E+01                 eV / (1E15 atoms/cm2)
  9.2341E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
